scenario_id,scenario_family,ego_speed_kmh,target_distance_m,relative_speed_kmh,road_condition,mu,actuator_delay_s,target_type,expected_state,odd_status,stopping_distance_m,ttc_s,calculated_state,brake_request,verification_result,verification_comment
P-SCN-060,SUDDEN_OBSTACLE,30,5.054,30,dry,0.75,0.3,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,7.219,0.606,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-061,NORMAL_FOLLOWING,30,25,5,wet,0.45,0.1,lead_vehicle,SAFE,inside_ODD,8.699,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-062,CLOSE_TARGET,30,10.004,10.004,wet,0.45,0.1,lead_vehicle,CAUTION,inside_ODD,8.699,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-063,HIGH_CLOSING_RISK,30,8.264,14.875,wet,0.45,0.1,lead_vehicle,WARNING,inside_ODD,8.699,2,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-064,SUDDEN_OBSTACLE,30,6.089,30,wet,0.45,0.1,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,8.699,0.731,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-065,NORMAL_FOLLOWING,30,25,5,wet,0.45,0.2,lead_vehicle,SAFE,inside_ODD,9.532,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-066,CLOSE_TARGET,30,10.962,10.962,wet,0.45,0.2,lead_vehicle,CAUTION,inside_ODD,9.532,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-067,HIGH_CLOSING_RISK,30,9.056,16.3,wet,0.45,0.2,lead_vehicle,WARNING,inside_ODD,9.532,2,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-068,SUDDEN_OBSTACLE,30,6.673,30,wet,0.45,0.2,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,9.532,0.801,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-069,NORMAL_FOLLOWING,30,25.914,5,wet,0.45,0.3,lead_vehicle,SAFE,inside_ODD,10.365,18.658,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-070,CLOSE_TARGET,30,11.92,11.92,wet,0.45,0.3,lead_vehicle,CAUTION,inside_ODD,10.365,3.6,CAUTION,0,Pass,Calculated state matches expected state.
